temp,rep,day,larva,pupa,adult
15,1,0,750,0,0
15,1,8,,0,0
15,1,15,,0,0
15,1,22,,0,0
15,1,29,,23,0
15,1,36,,66,0
15,1,43,,193,98
15,1,50,,270,131
15,1,57,,287,190
15,1,64,,294,206
15,1,71,,315,223
15,1,78,,335,233
15,1,85,,337,242
15,2,0,750,0,0
15,2,8,,0,0
15,2,15,,0,0
15,2,22,,0,0
15,2,29,,27,2
15,2,36,,39,2
15,2,43,,159,47
15,2,50,,225,104
15,2,57,,263,150
15,2,64,,272,172
15,2,71,,293,187
15,2,78,,295,189
15,2,85,,295,191
15,3,0,750,0,0
15,3,8,,0,0
15,3,15,,0,0
15,3,22,,0,0
15,3,29,,5,0
15,3,36,,15,0
15,3,43,,130,53
15,3,50,,182,90
15,3,57,,191,126
15,3,64,,193,131
15,3,71,,193,132
15,3,78,,194,133
15,3,85,,194,133
20,1,0,750,0,0
20,1,8,,0,0
20,1,15,,0,0
20,1,22,,154,17
20,1,29,,411,312
20,1,36,,489,440
20,1,43,,500,467
20,1,50,,500,470
20,2,0,750,0,0
20,2,8,,0,0
20,2,15,,15,0
20,2,22,,273,156
20,2,29,,388,337
20,2,36,,486,420
20,2,43,,531,484
20,2,50,,547,504
20,3,0,750,0,0
20,3,8,,0,0
20,3,15,,0,0
20,3,22,,245,105
20,3,29,,465,368
20,3,36,,547,484
20,3,43,,598,543
20,3,50,,609,556
23,1,0,750,0,0
23,1,8,,0,0
23,1,15,,120,59
23,1,22,,318,253
23,1,29,,391,364
23,1,36,,440,419
23,1,43,,462,444
23,2,0,750,0,0
23,2,8,,0,0
23,2,15,,39,5
23,2,22,,246,187
23,2,29,,438,374
23,2,36,,469,405
23,2,43,,485,424
23,3,0,750,0,0
23,3,8,,0,0
23,3,15,,35,4
23,3,22,,308,226
23,3,29,,469,425
23,3,36,,527,489
23,3,43,,535,501
27,1,0,750,0,0
27,1,8,,5,0
27,1,15,,521,397
27,1,22,,683,631
27,2,0,750,0,0
27,2,8,,51,10
27,2,15,,419,351
27,2,22,,636,556
27,3,0,750,0,0
27,3,8,,6,0
27,3,15,,400,307
27,3,22,,600,531
30,1,0,750,0,0
30,1,8,,2,0
30,1,15,,254,221
30,1,22,,390,358
30,1,29,,406,372
30,2,0,750,0,0
30,2,8,,16,1
30,2,15,,236,200
30,2,22,,379,334
30,2,29,,401,358
30,3,0,750,0,0
30,3,8,,10,3
30,3,15,,161,128
30,3,22,,230,206
30,3,29,,235,217
