Batch,Date,E1,E2,E3,L1,L2,L3,L4,P,A
1,06/08/2017,,,62,0,0,0,0,0,0
1,07/08/2017,,,,7,0,0,0,0,0
1,08/08/2017,,,0,25,0,0,0,0,0
1,09/08/2017,,,0,0,25,0,0,0,0
1,10/08/2017,,,0,0,25,0,0,0,0
1,11/08/2017,,,0,0,23,0,0,0,0
1,12/08/2017,,,0,0,0,21,0,0,0
1,13/08/2017,,,0,0,0,1,20,0,0
1,14/08/2017,,,0,0,0,1,20,0,0
1,15/08/2017,,,0,0,0,0,21,0,0
1,16/08/2017,,,0,0,0,0,17,4,0
1,17/08/2017,,,0,0,0,0,10,11,0
1,18/08/2017,,,0,0,0,0,5,14,2
1,19/08/2017,,,0,0,0,0,4,8,9
1,20/08/2017,,,0,0,0,0,2,5,14
1,21/08/2017,,,0,0,0,0,2,4,15
1,22/08/2017,,,0,0,0,0,1,5,15
1,23/08/2017,,,0,0,0,0,0,1,17
1,24/08/2017,,,0,0,0,0,0,1,17
1,25/08/2017,,,0,0,0,0,0,0,17
2,04/08/2017,,25,,0,0,0,0,0,0
2,05/08/2017,,0,,24,0,0,0,0,0
2,06/08/2017,,0,,24,0,0,0,0,0
2,07/08/2017,,0,,0,24,0,0,0,0
2,08/08/2017,,0,,0,24,0,0,0,0
2,09/08/2017,,0,,0,2,22,0,0,0
2,10/08/2017,,0,,0,2,22,0,0,0
2,11/08/2017,,0,,0,0,4,18,0,0
2,12/08/2017,,0,,0,0,4,18,0,0
2,13/08/2017,,0,,0,0,4,16,2,0
2,14/08/2017,,0,,0,0,0,16,6,0
2,15/08/2017,,0,,0,0,0,5,16,0
2,16/08/2017,,0,,0,0,0,3,12,6
2,17/08/2017,,0,,0,0,0,1,6,14
2,18/08/2017,,0,,0,0,0,0,2,19
2,19/08/2017,,0,,0,0,0,0,0,19
3,07/07/2017,31,,,0,0,0,0,0,0
3,08/07/2017,0,,,12,0,0,0,0,0
3,09/07/2017,0,,,10,0,0,0,0,0
3,10/07/2017,0,,,0,10,0,0,0,0
3,11/07/2017,0,,,0,10,0,0,0,0
3,12/07/2017,0,,,0,10,0,0,0,0
3,13/07/2017,0,,,0,10,0,0,0,0
3,14/07/2017,0,,,0,0,10,0,0,0
3,15/07/2017,0,,,0,0,10,0,0,0
3,16/07/2017,0,,,0,0,0,9,0,0
3,17/07/2017,0,,,0,0,0,9,0,0
3,18/07/2017,0,,,0,0,0,7,0,0
3,19/07/2017,0,,,0,0,0,7,0,0
3,20/07/2017,0,,,0,0,0,6,1,0
3,21/07/2017,0,,,0,0,0,6,1,0
3,22/07/2017,0,,,0,0,0,6,1,0
3,23/07/2017,0,,,0,0,0,6,1,0
3,24/07/2017,0,,,0,0,0,0,0,0
4,12/06/2017,41,,,0,0,0,0,0,0
4,13/06/2017,,,,15,0,0,0,0,0
4,14/06/2017,0,,,39,0,0,0,0,0
4,15/06/2017,0,,,0,39,0,0,0,0
4,16/06/2017,0,,,0,39,0,0,0,0
4,17/06/2017,0,,,0,0,39,0,0,0
4,18/06/2017,0,,,0,0,39,0,0,0
4,19/06/2017,0,,,0,0,39,0,0,0
4,20/06/2017,0,,,0,0,0,39,0,0
4,21/06/2017,0,,,0,0,0,39,0,0
4,22/06/2017,0,,,0,0,0,39,0,0
4,23/06/2017,0,,,0,0,0,29,10,0
4,24/06/2017,0,,,0,0,0,11,28,0
4,25/06/2017,0,,,0,0,0,0,16,23
4,26/06/2017,0,,,0,0,0,0,1,38
4,27/06/2017,0,,,0,0,0,0,0,39
5,16/03/2017,,,,6,0,0,0,0,0
5,17/03/2017,,,,6,0,0,0,0,0
5,18/03/2017,,,,0,3,0,0,0,0
5,19/03/2017,,,,0,3,0,0,0,0
