"time","sizeS","sizeM","sizeL"
-40,0,0,0
-39.99,6.87507215809873e-09,6.87507215809873e-09,6.87507215809873e-09
-39.98,1.38574281108625e-08,1.38574281108625e-08,1.38574281108625e-08
-39.97,2.09486304586826e-08,2.09486304586826e-08,2.09486304586826e-08
-39.96,2.81502628338233e-08,2.81502628338233e-08,2.81502628338233e-08
-39.95,3.54639301767018e-08,3.54639301767018e-08,3.54639301767018e-08
-39.94,4.28912588557124e-08,4.28912588557124e-08,4.28912588557124e-08
-39.93,5.04338972212387e-08,5.04338972212387e-08,5.04338972212387e-08
-39.92,5.80935156004147e-08,5.80935156004147e-08,5.80935156004147e-08
-39.91,6.58718065406009e-08,6.58718065406009e-08,6.58718065406009e-08
-39.9,7.37704853752689e-08,7.37704853752689e-08,7.37704853752689e-08
-39.89,8.17912903229846e-08,8.17912903229846e-08,8.17912903229846e-08
-39.88,8.99359826761966e-08,8.99359826761966e-08,8.99359826761966e-08
-39.87,9.82063471767535e-08,9.82063471767535e-08,9.82063471767535e-08
-39.86,1.06604192299807e-07,1.06604192299807e-07,1.06604192299807e-07
-39.85,1.15131350537845e-07,1.15131350537845e-07,1.15131350537845e-07
-39.84,1.23789678687061e-07,1.23789678687061e-07,1.23789678687061e-07
-39.83,1.32581058137593e-07,1.32581058137593e-07,1.32581058137593e-07
-39.82,1.41507395168272e-07,1.41507395168272e-07,1.41507395168272e-07
-39.81,1.50570621246189e-07,1.50570621246189e-07,1.50570621246189e-07
-39.8,1.59772693330754e-07,1.59772693330754e-07,1.59772693330754e-07
-39.79,1.69115594181756e-07,1.69115594181756e-07,1.69115594181756e-07
-39.78,1.78601332670712e-07,1.78601332670712e-07,1.78601332670712e-07
-39.77,1.88231944094365e-07,1.88231944094365e-07,1.88231944094365e-07
-39.76,1.98009490489282e-07,1.98009490489282e-07,1.98009490489282e-07
-39.75,2.07936060946139e-07,2.07936060946139e-07,2.07936060946139e-07
-39.74,2.18013771879055e-07,2.18013771879055e-07,2.18013771879055e-07
-39.73,2.2824476723209e-07,2.2824476723209e-07,2.2824476723209e-07
-39.72,2.3863121918762e-07,2.3863121918762e-07,2.3863121918762e-07
-39.71,2.4917532834635e-07,2.4917532834635e-07,2.4917532834635e-07
-39.7,2.59879324021468e-07,2.59879324021468e-07,2.59879324021468e-07
-39.69,2.70745464553433e-07,2.70745464553433e-07,2.70745464553433e-07
-39.68,2.81776037566066e-07,2.81776037566066e-07,2.81776037566066e-07
-39.67,2.92973359961208e-07,2.92973359961208e-07,2.92973359961208e-07
-39.66,3.04339779254654e-07,3.04339779254654e-07,3.04339779254654e-07
